,movie_name,year,runtime,genre,rating,votes,gross(in $)
175,Memories of Murder,2003,132 min,thriller,8.1,189662.0,14131.0
176,I Spit on Your Grave,2010,108 min,thriller,6.2,86412.0,93051.0
177,Unfaithful,2002,124 min,thriller,6.7,91624.0,52801000.0
178,The Lives of Others,2006,137 min,thriller,8.4,392565.0,11286112.0
179,Olympus Has Fallen,2013,119 min,thriller,6.5,280439.0,98925640.0
180,Life,2017,104 min,thriller,6.6,235817.0,30234022.0
181,V for Vendetta,2005,132 min,thriller,8.2,1129454.0,70511035.0
182,The Mummy Returns,2001,130 min,thriller,6.4,330552.0,202019785.0
183,Alien: Covenant,2017,122 min,thriller,6.4,285857.0,74262031.0
184,Mortal Kombat,2021,110 min,thriller,6.0,177108.0,42201013.0
185,Searching,2018,102 min,thriller,7.6,166764.0,26020957.0
186,13 Hours,2016,144 min,thriller,7.3,147124.0,52853219.0
187,Mad Max,1979,88 min,thriller,6.8,210752.0,8750000.0
188,"I, Robot",2004,115 min,thriller,7.1,547519.0,144801023.0
189,Fast Five,2011,130 min,thriller,7.3,385936.0,209837675.0
190,In Time,2011,109 min,thriller,6.7,417461.0,37520095.0
191,The Mosquito Coast,1986,117 min,thriller,6.6,29707.0,14302779.0
192,Predestination,2014,97 min,thriller,7.4,287386.0,68372.0
193,Underworld,2003,121 min,thriller,7.0,274031.0,51970690.0
194,Law Abiding Citizen,2009,109 min,thriller,7.4,302444.0,73343413.0
195,The Happening,2008,91 min,thriller,5.0,209859.0,64506874.0
196,10 Cloverfield Lane,2016,103 min,thriller,7.2,334356.0,72082998.0
197,The Fast and the Furious: Tokyo Drift,2006,104 min,thriller,6.0,276811.0,62514415.0
198,The Lovely Bones,2009,135 min,thriller,6.6,172162.0,43818839.0
199,Mission: Impossible - Ghost Protocol,2011,132 min,thriller,7.4,495999.0,209397903.0
200,Bad Boys II,2003,147 min,thriller,6.6,255209.0,138608444.0
201,L.A. Confidential,1997,138 min,thriller,8.2,587229.0,64616940.0
202,The Iceman,2012,106 min,thriller,6.8,76283.0,1939441.0
203,Fifty Shades Freed,2018,105 min,thriller,4.5,67785.0,100407760.0
204,Strange Days,1995,145 min,thriller,7.2,74006.0,7919000.0
205,The Running Man,1987,101 min,thriller,6.6,156856.0,38122105.0
206,City of Lies,2018,112 min,thriller,6.5,16161.0,572493.0
207,Dr. No,1962,110 min,thriller,7.2,170409.0,16067035.0
208,Cowboys & Aliens,2011,119 min,thriller,6.0,224042.0,100240551.0
209,The Equalizer 2,2018,121 min,thriller,6.7,164422.0,102084362.0
210,Cape Fear,1991,128 min,thriller,7.3,200187.0,79100000.0
211,Ad Astra,2019,123 min,thriller,6.5,240628.0,50188370.0
212,Snowpiercer,2013,126 min,thriller,7.1,366588.0,4563650.0
213,Godzilla vs. Kong,2021,113 min,thriller,6.3,213793.0,100916094.0
214,The Meg,2018,113 min,thriller,5.6,174788.0,143005856.0
215,Swimming Pool,2003,102 min,thriller,6.7,46769.0,10105505.0
216,John Q,2002,116 min,thriller,7.1,137035.0,71756802.0
217,Speed,1994,116 min,thriller,7.3,369691.0,121248145.0
218,Cloverfield,2008,85 min,thriller,7.0,404292.0,80048433.0
219,12 Monkeys,1995,129 min,thriller,8.0,623501.0,57141459.0
220,Children of Men,2006,109 min,thriller,7.9,505728.0,35552383.0
221,Spectre,2015,148 min,thriller,6.8,446089.0,200074175.0
222,Bad Boys for Life,2020,124 min,thriller,6.5,163933.0,206305244.0
223,Taken,2008,90 min,thriller,7.8,608834.0,145000989.0
224,Tomb Raider,2018,119 min,thriller,6.3,217394.0,58250803.0
225,Lady in the Water,2006,110 min,thriller,5.5,101053.0,42285169.0
226,Riddick,2013,119 min,thriller,6.4,169556.0,42025135.0
227,The Bourne Identity,2002,119 min,thriller,7.9,552407.0,121661683.0
228,A Cure for Wellness,2016,146 min,thriller,6.4,101744.0,8106986.0
229,Zero Dark Thirty,2012,157 min,thriller,7.4,305795.0,95720716.0
230,21,2008,123 min,thriller,6.8,255868.0,81159365.0
231,Argo,2012,120 min,thriller,7.7,619339.0,136025503.0
232,Saw,2004,103 min,thriller,7.6,428399.0,56000369.0
233,Dick Tracy,1990,105 min,thriller,6.2,63089.0,103738726.0
234,A Time to Kill,1996,149 min,thriller,7.5,164463.0,108766007.0
235,The Phantom of the Opera,2004,143 min,thriller,7.2,125150.0,51268815.0
236,To Live and Die in L.A.,1985,116 min,thriller,7.3,34919.0,17307019.0
237,The Skin I Live In,2011,120 min,thriller,7.6,155843.0,3185812.0
238,Hunter Killer,2018,121 min,thriller,6.6,65607.0,15767460.0
239,Sunshine,2007,107 min,thriller,7.2,254040.0,3675753.0
240,It Follows,2014,100 min,thriller,6.8,248135.0,14674077.0
241,Deep Impact,1998,120 min,thriller,6.2,181404.0,140464664.0
242,Super 8,2011,112 min,thriller,7.0,357094.0,127004179.0
243,Layer Cake,2004,105 min,thriller,7.3,185854.0,2338695.0
244,Flight,2012,138 min,thriller,7.3,359066.0,93772375.0
245,I Am Legend,2007,101 min,thriller,7.2,768223.0,256386216.0
